time,mode,state,x,y,theta,error
0.03,STRAIGHT,Straight,0.000,0.002,1.571,0.002
0.06,STRAIGHT,Straight,0.000,0.004,1.571,0.004
0.10,STRAIGHT,Straight,0.000,0.006,1.571,0.006
0.13,STRAIGHT,Straight,0.000,0.008,1.571,0.008
0.16,STRAIGHT,Straight,0.000,0.010,1.571,0.010
0.19,STRAIGHT,Straight,0.000,0.012,1.571,0.012
0.22,STRAIGHT,Straight,0.000,0.014,1.571,0.014
0.26,STRAIGHT,Straight,0.000,0.016,1.571,0.016
0.29,STRAIGHT,Straight,0.000,0.018,1.571,0.018
0.32,STRAIGHT,Straight,0.000,0.020,1.571,0.020
0.35,STRAIGHT,Straight,0.000,0.022,1.571,0.022
0.38,STRAIGHT,Straight,0.000,0.024,1.571,0.024
0.42,STRAIGHT,Straight,0.000,0.026,1.571,0.026
0.45,STRAIGHT,Straight,0.000,0.028,1.571,0.028
0.48,STRAIGHT,Straight,0.000,0.030,1.571,0.030
0.51,STRAIGHT,Straight,0.000,0.031,1.571,0.031
0.54,STRAIGHT,Straight,0.000,0.033,1.571,0.033
0.58,STRAIGHT,Straight,0.000,0.035,1.571,0.035
0.61,STRAIGHT,Straight,0.000,0.037,1.571,0.037
0.64,STRAIGHT,Straight,0.000,0.039,1.571,0.039
0.67,STRAIGHT,Straight,0.000,0.041,1.571,0.041
0.70,STRAIGHT,Straight,0.000,0.043,1.571,0.043
0.74,STRAIGHT,Straight,0.000,0.045,1.571,0.045
0.77,STRAIGHT,Straight,0.000,0.047,1.571,0.047
0.80,STRAIGHT,Straight,0.000,0.049,1.571,0.049
0.83,STRAIGHT,Straight,0.000,0.051,1.571,0.051
0.86,STRAIGHT,Straight,0.000,0.053,1.571,0.053
0.90,STRAIGHT,Straight,0.000,0.055,1.571,0.055
0.93,STRAIGHT,Straight,0.000,0.057,1.571,0.057
0.96,STRAIGHT,Straight,0.000,0.059,1.571,0.059
0.99,STRAIGHT,Straight,0.000,0.061,1.571,0.061
1.02,STRAIGHT,Straight,0.000,0.063,1.571,0.063
1.06,STRAIGHT,Straight,0.000,0.065,1.571,0.065
1.09,STRAIGHT,Straight,0.000,0.067,1.571,0.067
1.12,STRAIGHT,Straight,0.000,0.069,1.571,0.069
1.15,STRAIGHT,Straight,0.000,0.071,1.571,0.071
1.18,STRAIGHT,Straight,0.000,0.073,1.571,0.073
1.22,STRAIGHT,Straight,0.000,0.075,1.571,0.075
1.25,STRAIGHT,Straight,0.000,0.077,1.571,0.077
1.28,STRAIGHT,Straight,0.000,0.079,1.571,0.079
1.31,STRAIGHT,Straight,0.000,0.081,1.571,0.081
1.34,STRAIGHT,Straight,0.000,0.083,1.571,0.083
1.38,STRAIGHT,Straight,0.000,0.085,1.571,0.085
1.41,STRAIGHT,Straight,0.000,0.087,1.571,0.087
1.44,STRAIGHT,Straight,0.000,0.089,1.571,0.089
1.47,STRAIGHT,Straight,0.000,0.091,1.571,0.091
1.50,STRAIGHT,Straight,0.000,0.092,1.571,0.092
1.54,STRAIGHT,Straight,0.000,0.094,1.571,0.094
1.57,STRAIGHT,Straight,0.000,0.096,1.571,0.096
1.60,STRAIGHT,Straight,0.000,0.098,1.571,0.098
1.63,STRAIGHT,Straight,0.000,0.100,1.571,0.100
1.66,STRAIGHT,Straight,0.000,0.102,1.571,0.102
1.70,STRAIGHT,Straight,0.000,0.104,1.571,0.104
1.73,STRAIGHT,Straight,0.000,0.106,1.571,0.106
1.76,STRAIGHT,Straight,0.000,0.108,1.571,0.108
1.79,STRAIGHT,Straight,0.000,0.110,1.571,0.110
1.82,STRAIGHT,Straight,0.000,0.112,1.571,0.112
1.86,STRAIGHT,Straight,0.000,0.114,1.571,0.114
1.89,STRAIGHT,Straight,0.000,0.116,1.571,0.116
1.92,STRAIGHT,Straight,0.000,0.118,1.571,0.118
1.95,STRAIGHT,Straight,0.000,0.120,1.571,0.120
1.98,STRAIGHT,Straight,0.000,0.122,1.571,0.122
2.02,STRAIGHT,Straight,0.000,0.124,1.571,0.124
2.05,STRAIGHT,Straight,0.000,0.126,1.571,0.126
2.08,STRAIGHT,Straight,0.000,0.128,1.571,0.128
2.11,STRAIGHT,Straight,0.000,0.130,1.571,0.130
2.14,STRAIGHT,Straight,0.000,0.132,1.571,0.132
2.18,STRAIGHT,Straight,0.000,0.134,1.571,0.134
2.21,STRAIGHT,Straight,0.000,0.136,1.571,0.136
2.24,STRAIGHT,Straight,0.000,0.138,1.571,0.138
2.27,STRAIGHT,Straight,0.000,0.140,1.571,0.140
2.30,STRAIGHT,Straight,0.000,0.142,1.571,0.142
2.34,STRAIGHT,Straight,0.000,0.144,1.571,0.144
2.37,STRAIGHT,Straight,0.000,0.146,1.571,0.146
2.40,STRAIGHT,Straight,0.000,0.148,1.571,0.148
2.43,STRAIGHT,Straight,0.000,0.150,1.571,0.150
2.46,STRAIGHT,Straight,0.000,0.152,1.571,0.152
2.50,STRAIGHT,Straight,0.000,0.154,1.571,0.154
2.53,STRAIGHT,Straight,0.000,0.155,1.571,0.155
2.56,STRAIGHT,Straight,0.000,0.157,1.571,0.157
2.59,STRAIGHT,Straight,0.000,0.159,1.571,0.159
2.62,STRAIGHT,Straight,0.000,0.161,1.571,0.161
2.66,STRAIGHT,Straight,0.000,0.163,1.571,0.163
2.69,STRAIGHT,Straight,0.000,0.165,1.571,0.165
2.72,STRAIGHT,Straight,0.000,0.167,1.571,0.167
2.75,STRAIGHT,Straight,0.000,0.169,1.571,0.169
2.78,STRAIGHT,Straight,0.000,0.171,1.571,0.171
2.82,STRAIGHT,Straight,0.000,0.173,1.571,0.173
2.85,STRAIGHT,Straight,0.000,0.175,1.571,0.175
2.88,STRAIGHT,Straight,0.000,0.177,1.571,0.177
2.91,STRAIGHT,Straight,0.000,0.179,1.571,0.179
2.94,STRAIGHT,Straight,0.000,0.181,1.571,0.181
2.98,STRAIGHT,Straight,0.000,0.183,1.571,0.183
3.01,STRAIGHT,Straight,0.000,0.185,1.571,0.185
3.04,STRAIGHT,Straight,0.000,0.187,1.571,0.187
3.07,STRAIGHT,Straight,0.000,0.189,1.571,0.189
3.10,STRAIGHT,Straight,0.000,0.191,1.571,0.191
3.14,STRAIGHT,Straight,0.000,0.193,1.571,0.193
3.17,STRAIGHT,Straight,0.000,0.195,1.571,0.195
3.20,STRAIGHT,Straight,0.000,0.197,1.571,0.197
3.23,STRAIGHT,Straight,0.000,0.199,1.571,0.199
3.26,STRAIGHT,Straight,0.000,0.201,1.571,0.201
3.30,STRAIGHT,Straight,0.000,0.203,1.571,0.203
3.33,STRAIGHT,Straight,0.000,0.205,1.571,0.205
3.36,STRAIGHT,Straight,0.000,0.207,1.571,0.207
3.39,STRAIGHT,Straight,0.000,0.209,1.571,0.209
3.42,STRAIGHT,Straight,0.000,0.211,1.571,0.211
3.46,STRAIGHT,Straight,0.000,0.213,1.571,0.213
3.49,STRAIGHT,Straight,0.000,0.215,1.571,0.215
3.52,STRAIGHT,Straight,0.000,0.216,1.571,0.216
3.55,STRAIGHT,Straight,0.000,0.218,1.571,0.218
3.58,STRAIGHT,Straight,0.000,0.220,1.571,0.220
3.62,STRAIGHT,Straight,0.000,0.222,1.571,0.222
3.65,STRAIGHT,Straight,0.000,0.224,1.571,0.224
3.68,STRAIGHT,Straight,0.000,0.226,1.571,0.226
3.71,STRAIGHT,Straight,0.000,0.228,1.571,0.228
3.74,STRAIGHT,Straight,0.000,0.230,1.571,0.230
3.78,STRAIGHT,Straight,0.000,0.232,1.571,0.232
3.81,STRAIGHT,Straight,0.000,0.234,1.571,0.234
3.84,STRAIGHT,Straight,0.000,0.236,1.571,0.236
3.87,STRAIGHT,Straight,0.000,0.238,1.571,0.238
3.90,STRAIGHT,Straight,0.000,0.240,1.571,0.240
3.94,STRAIGHT,Straight,0.000,0.242,1.571,0.242
3.97,STRAIGHT,Straight,0.000,0.244,1.571,0.244
4.00,STRAIGHT,Straight,0.000,0.246,1.571,0.246
4.03,STRAIGHT,Straight,0.000,0.248,1.571,0.248
4.06,STRAIGHT,Straight,0.000,0.250,1.571,0.250
4.10,STRAIGHT,Straight,0.000,0.252,1.571,0.252
4.13,STRAIGHT,Straight,0.000,0.254,1.571,0.254
4.16,STRAIGHT,Straight,0.000,0.256,1.571,0.256
4.19,STRAIGHT,Straight,0.000,0.258,1.571,0.258
4.22,STRAIGHT,Straight,0.000,0.260,1.571,0.260
4.26,STRAIGHT,Straight,0.000,0.262,1.571,0.262
4.29,STRAIGHT,Straight,0.000,0.264,1.571,0.264
4.32,STRAIGHT,Straight,0.000,0.266,1.571,0.266
4.35,STRAIGHT,Straight,0.000,0.268,1.571,0.268
4.38,STRAIGHT,Straight,0.000,0.270,1.571,0.270
4.42,STRAIGHT,Straight,0.000,0.272,1.571,0.272
4.45,STRAIGHT,Straight,0.000,0.274,1.571,0.274
4.48,STRAIGHT,Straight,0.000,0.276,1.571,0.276
4.51,STRAIGHT,Straight,0.000,0.277,1.571,0.277
4.54,STRAIGHT,Straight,0.000,0.279,1.571,0.279
4.58,STRAIGHT,Straight,0.000,0.281,1.571,0.281
4.61,STRAIGHT,Straight,0.000,0.283,1.571,0.283
4.64,STRAIGHT,Straight,0.000,0.285,1.571,0.285
4.67,STRAIGHT,Straight,0.000,0.287,1.571,0.287
4.70,STRAIGHT,Straight,0.000,0.289,1.571,0.289
4.74,STRAIGHT,Straight,0.000,0.291,1.571,0.291
4.77,STRAIGHT,Straight,0.000,0.293,1.571,0.293
4.80,STRAIGHT,Straight,0.000,0.295,1.571,0.295
4.83,STRAIGHT,Straight,0.000,0.297,1.571,0.297
4.86,STRAIGHT,Straight,0.000,0.299,1.571,0.299
4.90,STRAIGHT,Straight,0.000,0.301,1.571,0.301
4.93,STRAIGHT,Straight,0.000,0.303,1.571,0.303
4.96,STRAIGHT,Straight,0.000,0.305,1.571,0.305
4.99,STRAIGHT,Straight,0.000,0.307,1.571,0.307
5.02,STRAIGHT,Straight,0.000,0.309,1.571,0.309
5.06,STRAIGHT,Straight,0.000,0.311,1.571,0.311
5.09,STRAIGHT,Straight,0.000,0.313,1.571,0.313
5.12,STRAIGHT,Straight,0.000,0.315,1.571,0.315
5.15,STRAIGHT,Straight,0.000,0.317,1.571,0.317
5.18,STRAIGHT,Straight,0.000,0.319,1.571,0.319
5.22,STRAIGHT,Straight,0.000,0.321,1.571,0.321
5.25,STRAIGHT,Straight,0.000,0.323,1.571,0.323
5.28,STRAIGHT,Straight,0.000,0.325,1.571,0.325
5.31,STRAIGHT,Straight,0.000,0.327,1.571,0.327
5.34,STRAIGHT,Straight,0.000,0.329,1.571,0.329
5.38,STRAIGHT,Straight,0.000,0.331,1.571,0.331
5.41,STRAIGHT,Straight,0.000,0.333,1.571,0.333
5.44,STRAIGHT,Straight,0.000,0.335,1.571,0.335
5.47,STRAIGHT,Straight,0.000,0.337,1.571,0.337
5.50,STRAIGHT,Straight,0.000,0.338,1.571,0.338
5.54,STRAIGHT,Straight,0.000,0.340,1.571,0.340
5.57,STRAIGHT,Straight,0.000,0.342,1.571,0.342
5.60,STRAIGHT,Straight,0.000,0.344,1.571,0.344
5.63,STRAIGHT,Straight,0.000,0.346,1.571,0.346
5.66,STRAIGHT,Straight,0.000,0.348,1.571,0.348
5.70,STRAIGHT,Straight,0.000,0.350,1.571,0.350
5.73,STRAIGHT,Straight,0.000,0.352,1.571,0.352
5.76,STRAIGHT,Straight,0.000,0.354,1.571,0.354
5.79,STRAIGHT,Straight,0.000,0.356,1.571,0.356
5.82,STRAIGHT,Straight,0.000,0.358,1.571,0.358
5.86,STRAIGHT,Straight,0.000,0.360,1.571,0.360
5.89,STRAIGHT,Straight,0.000,0.362,1.571,0.362
5.92,STRAIGHT,Straight,0.000,0.364,1.571,0.364
5.95,STRAIGHT,Straight,0.000,0.366,1.571,0.366
5.98,STRAIGHT,Straight,0.000,0.368,1.571,0.368
6.02,STRAIGHT,Straight,0.000,0.370,1.571,0.370
6.05,STRAIGHT,Straight,0.000,0.372,1.571,0.372
6.08,STRAIGHT,Straight,0.000,0.374,1.571,0.374
6.11,STRAIGHT,Straight,0.000,0.376,1.571,0.376
6.14,STRAIGHT,Straight,0.000,0.378,1.571,0.378
6.18,STRAIGHT,Straight,0.000,0.380,1.571,0.380
6.21,STRAIGHT,Straight,0.000,0.382,1.571,0.382
6.24,STRAIGHT,Straight,0.000,0.384,1.571,0.384
6.27,STRAIGHT,Straight,0.000,0.386,1.571,0.386
6.30,STRAIGHT,Straight,0.000,0.388,1.571,0.388
6.34,STRAIGHT,Straight,0.000,0.390,1.571,0.390
6.37,STRAIGHT,Straight,0.000,0.392,1.571,0.392
6.40,STRAIGHT,Straight,0.000,0.394,1.571,0.394
6.43,STRAIGHT,Straight,0.000,0.396,1.571,0.396
6.46,STRAIGHT,Straight,0.000,0.398,1.571,0.398
6.50,STRAIGHT,Straight,0.000,0.400,1.571,0.400
6.53,STRAIGHT,Straight,0.000,0.401,1.571,0.401
6.56,STRAIGHT,Straight,0.000,0.403,1.571,0.403
6.59,STRAIGHT,Straight,0.000,0.405,1.571,0.405
6.62,STRAIGHT,Straight,0.000,0.407,1.571,0.407
6.66,STRAIGHT,Straight,0.000,0.409,1.571,0.409
6.69,STRAIGHT,Straight,0.000,0.411,1.571,0.411
6.72,STRAIGHT,Straight,0.000,0.413,1.571,0.413
6.75,STRAIGHT,Straight,0.000,0.415,1.571,0.415
6.78,STRAIGHT,Straight,0.000,0.417,1.571,0.417
6.82,STRAIGHT,Straight,0.000,0.419,1.571,0.419
6.85,STRAIGHT,Straight,0.000,0.421,1.571,0.421
6.88,STRAIGHT,Straight,0.000,0.423,1.571,0.423
6.91,STRAIGHT,Straight,0.000,0.425,1.571,0.425
6.94,STRAIGHT,Straight,0.000,0.427,1.571,0.427
6.98,STRAIGHT,Straight,0.000,0.429,1.571,0.429
7.01,STRAIGHT,Straight,0.000,0.431,1.571,0.431
7.04,STRAIGHT,Straight,0.000,0.433,1.571,0.433
7.07,STRAIGHT,Straight,0.000,0.435,1.571,0.435
7.10,STRAIGHT,Straight,0.000,0.437,1.571,0.437
7.14,STRAIGHT,Straight,0.000,0.439,1.571,0.439
7.17,STRAIGHT,Straight,0.000,0.441,1.571,0.441
7.20,STRAIGHT,Straight,0.000,0.443,1.571,0.443
7.23,STRAIGHT,Straight,0.000,0.445,1.571,0.445
7.26,STRAIGHT,Straight,0.000,0.447,1.571,0.447
7.30,STRAIGHT,Straight,0.000,0.449,1.571,0.449
7.33,STRAIGHT,Straight,0.000,0.451,1.571,0.451
7.36,STRAIGHT,Straight,0.000,0.453,1.571,0.453
7.39,STRAIGHT,Straight,0.000,0.455,1.571,0.455
7.42,STRAIGHT,Straight,0.000,0.457,1.571,0.457
7.46,STRAIGHT,Straight,0.000,0.459,1.571,0.459
7.49,STRAIGHT,Straight,0.000,0.461,1.571,0.461
7.52,STRAIGHT,Straight,0.000,0.462,1.571,0.462
7.55,STRAIGHT,Straight,0.000,0.464,1.571,0.464
7.58,STRAIGHT,Straight,0.000,0.466,1.571,0.466
7.62,STRAIGHT,Straight,0.000,0.468,1.571,0.468
7.65,STRAIGHT,Straight,0.000,0.470,1.571,0.470
7.68,STRAIGHT,Straight,0.000,0.472,1.571,0.472
7.71,STRAIGHT,Straight,0.000,0.474,1.571,0.474
7.74,STRAIGHT,Straight,0.000,0.476,1.571,0.476
7.78,STRAIGHT,Straight,0.000,0.478,1.571,0.478
7.81,STRAIGHT,Straight,0.000,0.480,1.571,0.480
7.84,STRAIGHT,Straight,0.000,0.482,1.571,0.482
7.87,STRAIGHT,Straight,0.000,0.484,1.571,0.484
7.90,STRAIGHT,Straight,0.000,0.486,1.571,0.486
7.94,STRAIGHT,Straight,0.000,0.488,1.571,0.488
7.97,STRAIGHT,Straight,0.000,0.490,1.571,0.490
